PART,CAP1     ,DF1   ,ESR     ,LEAK     
1,306.469,2.59,0.02094,18.254
2,312.76,2.03,0.02068,5.944
3,304.9852,2.05,0.02125,7.8581
4,323.5196,1.93,0.02002,15.1282
5,309.866,2,0.02086,18.4467
6,302.4508,2.22,0.02139,12.5763
7,294.7747,2.4,0.02255,67.2267
8,304.599,1.96,0.02154,4.5676
9,308.163,2.39,0.02196,13.7103
10,309.3629,2.02,0.02115,63.0358
11,296.7134,2.51,0.02249,61.024
12,306.1148,2.07,0.02115,9.2362
13,309.55,2.09,0.02157,6.5836
14,298.3765,2.14,0.01986,9.4255
15,295.7651,2.44,0.02461,19.4376
16,306.3362,2.08,0.02051,10.6394
17,302.146,2.23,0.02374,25.1348
18,302.5778,2.34,0.02323,14.4654
19,316.7274,2.12,0.0218,7.0221
20,303.761,2.4,0.02195,18.7573
21,300.6928,2.22,0.02096,21.6558
22,305.3476,2.02,0.02033,5.1471
23,317.4397,2.1,0.02179,7.7342
24,301.8035,2.47,0.0221,23.5182
25,300.2269,2.4,0.02196,36.2646
26,310.4332,2.08,0.02095,8.1568
27,293.7168,2.48,0.02298,36.6797
28,303.4166,1.97,0.02012,4.3864
29,306.9836,1.78,0.01835,6.5318
30,319.3603,2.01,0.02001,28.2165
31,308.0909,2.02,0.02063,27.695
32,309.3282,1.93,0.01942,5.3189
33,310.3444,2.02,0.02126,5.7381
34,307.4018,1.95,0.01989,5.5768
35,308.1841,2.01,0.02149,10.9411
36,321.4592,2.07,0.02062,10.728
37,320.355,2.17,0.02097,17.9555
38,310.6364,2.04,0.02166,9.9195
39,306.7409,2.07,0.02214,6.4866
40,304.8722,2.05,0.02166,13.6987
41,300.729,2.34,0.02255,20.3576
42,299.9954,2.06,0.02105,16.3208
43,313.3196,2.17,0.02301,10.5201
44,302.4652,2,0.01862,7.5621
45,311.2119,2.11,0.02259,14.9762
46,296.9063,2.19,0.01963,34.6361
47,316.0454,2.04,0.02153,11.1955
48,304.7469,2,0.02616,20.0081
49,302.4946,2.18,0.02266,15.6791
50,307.2698,2.02,0.02138,10.3405
51,308.0546,2.03,0.02073,21.0953
52,323.9335,2,0.02034,7.8494
53,306.6483,2.24,0.02204,24.0165
54,304.3419,2.05,0.00323,20.7161
55,319.4731,2.12,0.02185,14.4376
56,317.1535,2.25,0.02189,21.9702
57,305.7848,2,0.02148,14.3321
58,306.9733,2.01,0.02071,11.3673
59,317.1752,2.32,0.02231,16.3516
60,309.7176,2.19,0.02212,8.2471
61,318.7181,2.11,0.02054,28.9945
62,297.6551,2.31,0.02226,20.9122
63,311.7608,2.09,0.02178,7.7057
64,313.0383,1.95,0.01982,5.4695
65,310.2644,2.19,0.02222,8.1854
66,309.6689,2.02,0.0208,54.3731
67,315.4639,2.16,0.01994,12.0245
68,301.4376,2.03,0.02203,15.2866
69,303.8829,2.11,0.0219,16.0124
70,304.8525,2.17,0.0233,13.3058
71,309.9134,2.13,0.02298,31.9697
72,312.8964,2.04,0.02174,8.1387
73,305.1823,1.92,0.02052,14.768
74,312.1027,2.34,0.02305,33.9628
75,311.5536,2.25,0.02188,19.3197
76,297.9856,2.38,0.02395,16.3755
77,315.713,2.12,0.02182,12.6563
78,314.7232,1.99,0.02205,8.2652
79,308.8924,2.04,0.02198,11.1557
80,306.7285,1.98,0.02127,8.5878
81,305.174,2.34,0.02228,23.8572
82,314.8532,2.06,0.02166,14.9677
83,307.338,2,0.02157,8.5466
84,316.3021,2.16,0.0208,23.02
85,322.9472,2.09,0.02094,22.5919
86,304.5209,2.2,0.01665,16.1871
87,324.3363,2.11,0.02081,24.1243
88,311.566,1.96,0.02033,11.1581
89,306.0888,2.05,0.02196,7.4051
90,307.1731,2.04,0.02165,9.1222
91,323.2203,2.09,0.01977,11.3233
92,325.0953,2.06,0.02077,22.5567
93,301.4688,1.96,0.021,66.1004
94,306.5997,2.11,0.02074,42.6754
95,304.2088,2.21,0.01998,11.0212
96,305.4684,2.13,0.02075,14.6342
97,306.233,2.1,0.02146,7.4375
98,323.6139,2.08,0.02107,5.5495
99,300.5387,2.31,0.02167,7.8546
100,305.7848,2.53,0.02336,12.9965
101,301.7658,2.13,0.02229,27.9773
102,314.9063,2.17,0.02212,9.6462
103,294.9536,2.28,0.02333,10.8567
104,297.5148,2.25,0.02365,15.7861
105,302.0801,1.93,0.02059,11.755
106,297.687,2.37,0.02255,20.7994
107,310.9018,2.34,0.02176,17.5039
108,298.7361,2.28,0.02185,10.5209
109,301.7656,2.38,0.02299,7.2649
110,308.8973,2.07,0.0217,6.5156
111,319.4445,2.15,0.02161,8.7475
112,315.0159,2.25,0.0208,38.5737
113,304.3216,2.12,0.02329,35.3387
114,317.118,2.27,0.02238,81.4694
115,301.7162,2.35,0.02297,9.1065
116,313.7967,2.36,0.0217,10.1374
117,300.046,2.31,0.02162,10.1313
118,301.0143,2.21,0.02232,6.91
