SurveilancePlace,Department,MonitorDate,Rate_Wave
D,Suburb,20121001,3.32
D,Suburb,20121002,2.84
D,Suburb,20121003,2.91
D,Suburb,20121004,2.7
D,Suburb,20121006,3.1
D,Suburb,20121007,2.6
D,Suburb,20121008,2.6
D,Suburb,20121009,3.2
D,Suburb,20121010,2.86
D,Suburb,20121011,3.29
D,Suburb,20121012,3.08
D,Suburb,20121013,3.13
D,Suburb,20121014,2.65
D,Suburb,20121015,3.02
D,Suburb,20121016,3.94
D,Suburb,20121017,4.97
D,Suburb,20121018,7.11
D,Suburb,20121019,4.08
D,Suburb,20121020,5.46
D,Suburb,20121022,3.18
D,Suburb,20121023,6.47
D,Suburb,20121024,2.78
D,Suburb,20121025,3.76
D,Suburb,20121026,5
D,Suburb,20121027,4.54
D,Suburb,20121028,5.03
D,Suburb,20121029,4.22
D,Suburb,20121030,8.58
D,Suburb,20121031,3.03
D,Suburb,20121101,6.3
D,Suburb,20121102,6.36
D,Suburb,20121103,4.55
D,Suburb,20121104,3.55
D,Suburb,20121105,4.29
D,Suburb,20121106,3.64
D,Suburb,20121107,3.4
D,Suburb,20121108,3.02
D,Suburb,20121109,4.39
D,Suburb,20121110,3.34
D,Suburb,20121111,2.9
D,Suburb,20121112,3.09
D,Suburb,20121113,4.61
D,Suburb,20121114,2.85
D,Suburb,20121115,2.86
D,Suburb,20121116,3.21
D,Suburb,20121117,3.4
D,Suburb,20121118,2.8
D,Suburb,20121119,2.64
D,Suburb,20121120,6.48
D,Suburb,20121121,3.58
D,Suburb,20121122,2.78
D,Suburb,20121123,2.34
D,Suburb,20121124,3.64
D,Suburb,20121125,2.46
D,Suburb,20121126,3.17
D,Suburb,20121127,4.24
D,Suburb,20121128,3.91
D,Suburb,20121129,2.7
D,Suburb,20121130,6.58
D,Suburb,20121201,3.29
D,Suburb,20121202,3.88
D,Suburb,20121203,2.75
D,Suburb,20121204,5.34
D,Suburb,20121205,5.55
D,Suburb,20121206,2.88
D,Suburb,20121207,5.13
D,Suburb,20121208,2.78
D,Suburb,20121209,2.81
D,Suburb,20121210,3.14
D,Suburb,20121211,3.23
D,Suburb,20121212,8.17
D,Suburb,20121213,7.38
D,Suburb,20121214,3
D,Suburb,20121215,4.9
D,Suburb,20121216,4.01
D,Suburb,20121217,4.97
D,Suburb,20121218,3.12
D,Suburb,20121219,2.8
D,Suburb,20121220,4.53
D,Suburb,20121221,7.64
D,Suburb,20121222,3.01
D,Suburb,20121223,6.51
D,Suburb,20121224,2.66
D,Suburb,20121225,2.87
D,Suburb,20121226,2.85
D,Suburb,20121227,2.98
D,Suburb,20121228,2.84
D,Suburb,20121229,2.65
D,Suburb,20121230,2.76
D,Suburb,20121231,3.11
D,Suburb,20130101,3.48
D,Suburb,20130102,2.78
D,Suburb,20130103,6.28
D,Suburb,20130104,4.81
D,Suburb,20130105,2.82
D,Suburb,20130106,2.77
D,Suburb,20130107,2.81
D,Suburb,20130108,4.93
D,Suburb,20130109,2.72
D,Suburb,20130110,4.65
D,Suburb,20130111,2.72
D,Suburb,20130112,2.86
D,Suburb,20130113,2.61
D,Suburb,20130114,2.71
D,Suburb,20130115,2.56
D,Suburb,20130116,3.53
D,Suburb,20130117,3.13
D,Suburb,20130118,3.45
D,Suburb,20130119,3.46
D,Suburb,20130120,5.45
D,Suburb,20130121,3.11
D,Suburb,20130122,3.32
D,Suburb,20130123,2.9
D,Suburb,20130124,2.43
D,Suburb,20130125,3.57
D,Suburb,20130126,3.38
D,Suburb,20130127,3.36
D,Suburb,20130128,3.37
D,Suburb,20130129,3.1
D,Suburb,20130131,2.4
D,Suburb,20130204,13.54
D,Suburb,20130205,2.68
D,Suburb,20130206,5.65
D,Suburb,20130207,3.42
D,Suburb,20130208,2.94
D,Suburb,20130209,3.4
D,Suburb,20130210,2.56
D,Suburb,20130211,2.55
D,Suburb,20130212,2.84
D,Suburb,20130213,2.92
D,Suburb,20130214,2.7
D,Suburb,20130215,4.05
D,Suburb,20130216,2.88
D,Suburb,20130217,3.08
D,Suburb,20130218,2.75
D,Suburb,20130219,2.73
D,Suburb,20130220,3.1
D,Suburb,20130221,2.85
D,Suburb,20130222,3.19
D,Suburb,20130223,2.84
D,Suburb,20130224,2.7
D,Suburb,20130225,2.9
D,Suburb,20130226,2.67
D,Suburb,20130227,2.69
D,Suburb,20130228,2.97
D,Suburb,20130301,3.15
D,Suburb,20130302,2.49
D,Suburb,20130303,2.31
D,Suburb,20130304,2.68
D,Suburb,20130305,2.82
D,Suburb,20130306,2.44
D,Suburb,20130307,2.61
D,Suburb,20130308,2.83
D,Suburb,20130309,2.81
D,Suburb,20130310,3.04
D,Suburb,20130311,4.35
D,Suburb,20130312,3.06
D,Suburb,20130313,2.8
D,Suburb,20130314,3.15
D,Suburb,20130315,2.96
D,Suburb,20130316,2.81
D,Suburb,20130317,2.72
D,Suburb,20130318,3.1
D,Suburb,20130319,2.45
D,Suburb,20130320,2.6
D,Suburb,20130321,2.58
D,Suburb,20130322,3.24
D,Suburb,20130323,2.6
D,Suburb,20130324,2.56
D,Suburb,20130325,2.78
D,Suburb,20130326,2.65
D,Suburb,20130327,2.71
D,Suburb,20130328,2.41
D,Suburb,20130329,2.81
D,Suburb,20130330,2.86
D,Suburb,20130331,2.9
YS,Suburb,20121001,2.81
YS,Suburb,20121002,1.79
YS,Suburb,20121003,1.9
YS,Suburb,20121004,1.97
YS,Suburb,20121005,2.99
YS,Suburb,20121006,1.65
YS,Suburb,20121007,1.74
YS,Suburb,20121008,1.76
YS,Suburb,20121009,1.81
YS,Suburb,20121010,1.48
YS,Suburb,20121011,1.72
YS,Suburb,20121012,1.63
YS,Suburb,20121013,1.55
YS,Suburb,20121014,1.52
YS,Suburb,20121015,1.72
YS,Suburb,20121016,5.06
YS,Suburb,20121017,1.78
YS,Suburb,20121018,1.43
YS,Suburb,20121019,1.82
YS,Suburb,20121020,1.7
YS,Suburb,20121021,1.72
YS,Suburb,20121022,1.5
YS,Suburb,20121023,1.51
YS,Suburb,20121024,1.67
YS,Suburb,20121025,1.6
YS,Suburb,20121026,1.36
YS,Suburb,20121027,1.55
YS,Suburb,20121028,1.52
YS,Suburb,20121029,1.73
YS,Suburb,20121030,1.65
YS,Suburb,20121031,1.43
YS,Suburb,20121101,1.64
YS,Suburb,20121102,1.62
YS,Suburb,20121103,1.49
YS,Suburb,20121104,1.5
